Symbol,Yahoo_Symbol,Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA100,SMA200,EMA9,EMA20,EMA50,RSI14,ATR14,ATR_Pct,Volume_Ratio,52W_High,52W_Low,Distance_200DMA_Pct,Distance_52W_High_Pct,Support,Resistance,Pivot,Return_5D_Pct,Return_20D_Pct,Return_60D_Pct,Above_200DMA,Near_200DMA,Recent_200DMA_Cross_Down,Breakout,Near_Breakout,Technical_Score,Trend_Score,Momentum_Score,RSI_Score,Volume_Score,Position_Score,Breakout_Score,Setup,name,series,isin,Above_20DMA,Above_50DMA
ABB,ABB.NS,2026-09-18,7185.5,7307.0,7151.0,7270.5,383030.0,7392.1,7428.85,7177.13,6496.455,7239.560754894398,7339.9899510714895,7341.778063722488,45.98239218708743,171.3644467302518,2.356982968575089,2.2625712019100983,7924.5,4637.5,11.91488280916284,-8.252886617452205,6905.5,7699.0,6978.833333333333,-0.7981989357347508,-2.787805856397918,3.9682539682539764,True,False,False,False,False,59.66,25.0,47.6,75.96,94.19,100.0,35.0,Neutral Watch,ABB India Limited,EQ,INE117A01022,False,False
ABBOTINDIA,ABBOTINDIA.NS,2026-09-18,26035.0,27490.0,26035.0,27270.0,38339.0,26067.75,27053.7,26765.3,26949.05,26136.172484765222,26227.92486824715,26576.07191717419,62.39094212908398,579.3372604992139,2.1244490667371245,4.157701817550861,31355.0,25135.0,1.19095107248679,-13.028225163450802,25135.0,26745.0,26025.0,8.107036669970258,3.2758947169096775,6.544246923227193,True,True,True,True,True,71.88,25.0,61.79,91.22,100.0,59.53,100.0,Strong Breakout Watch,Abbott India Limited,EQ,INE358A01014,True,True
ABCAPITAL,ABCAPITAL.NS,2026-09-18,390.5,410.04998779296875,390.5,410.04998779296875,4888619.0,400.37249755859375,403.1239996337891,385.68999938964845,363.51399948120115,395.5026805139707,398.3166141550185,397.3985613025402,56.80724717271024,9.688439175954306,2.3627458759603543,1.915075397623104,430.70001220703125,277.70001220703125,12.8017045775906,-4.7945260805185015,378.0,416.45001220703125,387.6666666666667,3.8101234918908267,-0.7142886699833539,4.925793398488532,True,False,False,False,True,69.82,25.0,52.51,97.61,82.03,100.0,75.0,Pre-Breakout Watch,Aditya Birla Capital Limited,EQ,INE674K01013,True,True
ABCOTS,ABCOTS.NS,2026-09-18,221.0,222.00999450683594,206.0500030517578,209.85000610351562,219982.0,207.7480010986328,205.0622006225586,212.55520065307618,308.8928504180908,206.97524395719643,206.98732651888147,210.96680989399198,53.87901462099427,10.294313470626763,4.905557860955574,12.139550027316224,504.0,196.80999755859375,-32.063818952274005,-58.36309402708023,200.10000610351562,225.0,205.8500010172526,2.0125415655675827,-3.769432266988426,-8.434412771629496,False,False,False,False,False,46.12,25.0,35.71,91.76,100.0,0.0,35.0,Neutral Watch,A B Cotspin India Limited,EQ,INE08PH01015,True,True
ABDL,ABDL.NS,2026-09-18,649.9000244140625,659.5499877929688,641.0,647.5999755859375,437696.0,619.4650024414062,618.0810009765624,606.7614990234375,560.2109988403321,633.8918387422058,624.1912455636766,617.2607731554905,61.50694171796287,19.877967670826262,3.0694824614286023,1.122362907067015,711.7000122070312,382.1000061035156,15.59929685895234,-9.006608897239598,584.2999877929688,657.4000244140625,649.1500040690104,2.387347918725302,8.840332031250009,4.065561351318192,True,False,True,False,True,67.73,25.0,70.93,92.99,54.28,100.0,75.0,Pre-Breakout Watch,Allied Blenders and Distillers Limited,EQ,INE552Z01027,True,True
ABFRL,ABFRL.NS,2026-09-18,50.599998474121094,50.77000045776367,49.79999923706055,50.15999984741211,3238057.0,51.70250015258789,55.59519996643066,58.82930004119873,63.32899993896484,50.56165949441367,51.88256486866137,54.796815924130634,36.63843854860517,1.5155791563992402,3.0214895554419208,0.7421195618138443,94.94999694824219,48.709999084472656,-20.794580846444344,-47.17219435535672,48.709999084472656,55.279998779296875,50.163333892822266,-0.5551125831090187,-7.709289318019142,-16.566865038965183,False,False,False,False,False,24.94,0.0,21.33,57.28,40.97,0.0,35.0,Weak / Avoid,Aditya Birla Fashion and Retail Limited,EQ,INE647O01011,False,False
ABINFRA,ABINFRA.NS,2026-09-18,11.079999923706055,11.569999694824219,11.0,11.569999694824219,395493.0,11.71899995803833,10.97420000076294,11.50360001564026,14.81380000591278,11.42096287979117,11.443387521170383,11.384635076186605,52.664104321644494,0.6985129081434515,6.037276806981487,0.11869879091961887,23.559999465942383,8.819999694824219,-21.897152046023514,-50.89134143848577,10.609999656677246,14.4399995803833,11.216666539510092,-0.1725665012972888,-13.977696216366231,5.469456820331686,False,False,False,False,False,32.24,25.0,26.42,89.33,19.15,0.0,35.0,Weak / Avoid,A B Infrabuild Limited,BE,INE00YB01025,False,True
ABLBL,ABLBL.NS,2026-09-18,82.75,82.75,80.80999755859375,81.16999816894531,1106286.0,84.26450004577637,89.55220001220704,95.00160018920899,102.45655017852783,83.01938000856283,84.60706599433301,88.6082562546521,29.410578306567643,1.8837710247452295,2.320772535714973,1.844847265374957,150.7899932861328,80.80999755859375,-20.776174849232444,-46.1701692532604,81.87999725341797,87.4000015258789,82.82333374023438,-2.918314105482922,-5.747798908231195,-16.808446835271308,False,False,False,False,False,29.12,0.0,25.06,42.82,79.57,0.0,35.0,Weak / Avoid,Aditya Birla Lifestyle Brands Limited,EQ,INE14LE01019,False,False
ABMINTLLTD,ABMINTLLTD.NS,2026-09-18,49.97999954223633,49.97999954223633,49.97999954223633,49.97999954223633,28.0,55.18999977111817,49.65699996948242,46.287100067138674,44.71725008010864,52.6728573384717,53.42521420829246,50.91156629025717,42.154204224495054,2.0935485892969705,4.188772726033714,0.024067388688327314,72.80000305175781,34.0,11.76894700076534,-31.346157352902026,48.20000076293945,63.150001525878906,51.0,-6.927376476445879,-1.4784151523115519,21.163635253906254,True,False,True,False,False,49.22,25.0,63.97,68.31,15.84,100.0,35.0,Neutral Watch,ABM International Limited,BE,INE251C01025,False,True
ABREL,ABREL.NS,2026-09-18,1264.0,1279.0,1249.199951171875,1266.199951171875,171318.0,1339.1250061035157,1381.84,1350.902999267578,1381.6840014648437,1284.3183305625535,1322.115491066726,1352.7390462876745,35.65462365152206,39.284339233771306,3.102538362713838,1.0145771662396277,1965.300048828125,1080.0999755859375,-8.358209993785415,-35.57218136096376,1207.0,1486.0,1251.3000081380208,-1.2016248991438827,-9.96231904940883,-5.9775750292372365,False,False,True,False,False,31.67,25.0,25.29,55.31,50.51,0.0,35.0,Weak / Avoid,Aditya Birla Real Estate Limited,EQ,INE055A01016,False,False
ABSLAMC,ABSLAMC.NS,2026-09-18,1083.0,1107.9000244140625,1053.4000244140625,1060.4000244140625,378189.0,1052.0050109863282,1044.2080017089843,1066.9049993896485,971.6350012207031,1067.9541659431877,1057.1023954838636,1052.913471833837,51.21030031965619,39.50394608232368,3.7253814761228514,1.5988647814423134,1224.9000244140625,708.0,9.135634583134667,-13.429667460304728,992.5999755859375,1116.9000244140625,1077.9666341145833,-4.459861150659227,5.156683730765965,-7.080260271203198,True,False,False,False,False,58.8,25.0,54.65,86.42,70.96,100.0,35.0,Neutral Watch,Aditya Birla Sun Life AMC Limited,EQ,INE404A01024,True,True
ACC,ACC.NS,2026-09-18,1236.5999755859375,1279.9000244140625,1236.5999755859375,1259.699951171875,386560.0,1270.3599975585937,1319.6300048828125,1340.6630029296875,1465.1565002441407,1248.6029305797438,1267.6343096413766,1304.3477314247493,43.42006212283585,23.35314498124107,1.8538656732911738,3.1084724691593313,1987.0,1219.0999755859375,-14.022839815270949,-36.602921430705834,1219.0999755859375,1338.0999755859375,1232.6333414713542,1.0589611850681857,-3.6484681315166134,-5.84498630803415,False,False,False,False,False,38.33,0.0,38.03,70.84,100.0,0.0,35.0,Weak / Avoid,ACC Limited,EQ,INE012A01025,False,False
